OrderId,CustomerId,OfferName,MobileData,MobileVoice,Text,Overusage_100MB,TV,Landline,Price,Duration,Complained,TicketTitle,Description,Status,OrderDate,TicketLastUpdate,Fulfilled,OrderType
d1fbdbd0-ae39-4c82-bfec-81c2d5b2d607,135822726,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/28/2024,,1,pre
6a849c9a-3e71-4d68-bdcb-bfd22ba1e0fd,280741683,Global Pre 15GB,3GB,50min,50,Default,Default,Default,€ 15,1 Month,1,Order mismatch,There is a mismatch between the details of the original order and the current order,Closed,3/19/2024,3/19/2024,1,pre
45815b3b-c89e-471f-a590-700e6845d488,425860962,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/26/2024,,1,pre
2e000d22-8aee-4f23-95d7-f0463bffb841,354065721,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/14/2024,,1,pre
bbbc60a4-9969-402c-a12c-b7bd7151a462,235989467,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/2/2024,,1,pre
a3625294-8f5d-461b-bfe9-313f8b25b7bf,136430198,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/19/2024,,1,pre
61e706f4-913b-40c1-b42e-f77095274128,93267617,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/6/2024,,1,pre
b55120bd-b633-468e-aedf-f73752987a76,155810398,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/21/2024,,1,pre
e52a77e6-4394-4d3d-92a0-5183b92da393,356508337,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/1/2024,,1,pre
4427d196-3a8f-4332-a8f9-d211160ebcb1,167151260,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/6/2024,,1,pre
b6a119fe-6570-46ea-ace1-601430c03808,100716475,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/15/2024,,1,pre
5e91176d-8ec5-42f2-aeca-dfc6bd0ca1be,161184083,Global Pre 15GB,3GB,50min,50,Default,Default,Default,€ 15,1 Month,1,Order mismatch,There is a mismatch between the details of the original order and the current order,Closed,4/10/2024,4/10/2024,1,pre
2ee8fb2c-2497-46eb-9c5f-8a7ce5e462ae,277025652,Global Pre 15GB,3GB,50min,50,Default,Default,Default,€ 15,1 Month,1,Order mismatch,There is a mismatch between the details of the original order and the current order,Closed,4/19/2024,4/20/2024,1,pre
c813896d-4486-46cc-84d0-bcfc2ea53858,162204131,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/23/2024,,1,pre
dd20a902-2e98-44f6-9179-ed0618f421b2,419447410,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/8/2024,,1,pre
79c2f804-f34b-4359-b5b2-deda49d655b6,465276392,Global Pre 15GB,3GB,50min,50,Default,Default,Default,€ 15,1 Month,1,Order mismatch,There is a mismatch between the details of the original order and the current order,Closed,3/5/2024,3/6/2024,1,pre
9ad40c71-08a8-4ef8-8a99-3e66c064dd2f,383245535,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/14/2024,,1,pre
cb5f94c1-cdb0-49e7-92f5-f07e6851fda3,164108227,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/7/2024,,1,pre
1f03e16a-5322-45ff-8f9c-3262432e70d3,54050536,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/4/2024,,1,pre
715dd507-9ae0-4114-9fa9-9e0c79fd9f62,108975908,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/20/2024,,1,pre
a4925f2d-bb7c-4573-bb48-d4b9db71c469,133221750,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/21/2024,,1,pre
d727957d-c2c6-4a69-9422-e0ece1ffe77f,373811527,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/8/2024,,1,pre
26711389-3ec6-4bd8-8ea7-3b515fd93d2a,367401700,Global Pre 15GB,3GB,50min,50,Default,Default,Default,€ 15,1 Month,1,Order mismatch,There is a mismatch between the details of the original order and the current order,Closed,4/3/2024,4/3/2024,1,pre
e46bb47d-93e1-4865-bc9e-5f0b4f4bbd8b,296232284,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/12/2024,,1,pre
fec92404-ec53-406e-a722-cec1b36063b3,302379431,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/17/2024,,1,pre
8a65cf44-701a-4652-8293-5e58d8a188d1,255685710,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/10/2024,,1,pre
f9534f4e-f632-4f62-93b3-a5b19eaeba9b,255600333,Global Pre 15GB,5GB,50min,50,Default,Default,Default,€ 15,1 Month,1,Order mismatch,There is a mismatch between the details of the original order and the current order,Closed,3/6/2024,3/7/2024,1,pre
73da8ac4-af42-4c1c-b1a5-4c8cb708a81d,215746474,Global Pre 15GB,3GB,50min,50,Default,Default,Default,€ 15,1 Month,1,Order mismatch,There is a mismatch between the details of the original order and the current order,Closed,3/18/2024,3/19/2024,1,pre
fb4d7e5f-2fef-40d7-9bbd-fbfd1c1e96b0,79534587,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/19/2024,,1,pre
2ee5a702-ceed-4931-9840-8c7f5e177f63,243943182,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/10/2024,,1,pre
b5653120-9dc3-4956-bc9e-e545c8c4020a,336043954,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/9/2024,,1,pre
b4e4f6e2-a700-4666-ae30-85dbe52aa9a1,394978166,Global Pre 15GB,10GB,50min,50,Default,Default,Default,€ 15,1 Month,1,Order mismatch,There is a mismatch between the details of the original order and the current order,Closed,3/17/2024,3/17/2024,1,pre
1a64614a-fd3a-46ad-a01b-cf647cc70064,269548739,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/6/2024,,1,pre
b7e52a60-1c96-4d9a-8d94-e86161b22e94,48695118,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/28/2024,,1,pre
37a61b34-25b4-4129-b46a-fa8bfe3a72ee,62131819,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/23/2024,,1,pre
97db2659-380a-48c0-8599-aad0509ef979,234484702,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/23/2024,,1,pre
bac565f6-c4e8-4313-8855-72d3877ec5a9,330639142,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/24/2024,,1,pre
aeb33784-3d15-413f-9085-27d2210e4681,219835597,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/25/2024,,1,pre
81deb83b-3e19-4fc8-9f86-4d5bf9635a1f,401563153,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/22/2024,,1,pre
7b36c4fd-5d2c-4459-9259-e0f93ade8f9a,38931871,Global Pre 15GB,3GB,50min,50,Default,Default,Default,€ 15,1 Month,1,Order mismatch,There is a mismatch between the details of the original order and the current order,Closed,4/13/2024,4/13/2024,1,pre
5f894a83-a65f-48ab-8660-cfe7ace7288a,150124484,Global Pre 15GB,3GB,50min,50,Default,Default,Default,€ 15,1 Month,1,Order mismatch,There is a mismatch between the details of the original order and the current order,Closed,3/29/2024,3/30/2024,1,pre
e883df2f-8e64-4d00-be95-b2db4ea562de,428156416,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/10/2024,,1,pre
64c093a0-1ccc-479e-a788-d9755cecde0a,293467613,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/29/2024,,1,pre
15f504fc-44d6-44bf-b678-775cf478c5d7,403224460,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/30/2024,,1,pre
98328b83-d35a-4bf5-8859-f9fedcaa1e6c,390648223,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/18/2024,,1,pre
4f6c4fbe-2a57-4274-928e-de47be2a25cb,267959609,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/3/2024,,1,pre
5e031409-1d80-4f80-ab38-fe4b930684c5,335140966,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/26/2024,,1,pre
ef2c1762-992d-4637-90be-ee7e148f831d,460731236,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/18/2024,,1,pre
9b1cd537-b810-43b2-85a9-5ab5b79fa0d5,108442285,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/9/2024,,1,pre
a21a457e-f997-47cc-b2b0-f2afb51bc529,190332851,Global Pre 15GB,10GB,50min,50,Default,Default,Default,€ 15,1 Month,1,Order mismatch,There is a mismatch between the details of the original order and the current order,Closed,3/5/2024,3/6/2024,1,pre
cb382164-9053-4854-89f9-eb4eeb45adc8,181945299,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/24/2024,,1,pre
2118cdae-4913-4d5b-88da-fdc0b5e5f2ac,378833822,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/27/2024,,1,pre
2ed820c5-b1f5-4e50-ae98-2c5673617732,380199250,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/30/2024,,1,pre
51a734f6-af7c-45a7-b017-d05b88e52d65,159288853,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/15/2024,,1,pre
10790bde-9955-4d65-8c39-e3db86108aaf,495480404,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/11/2024,,1,pre
f71e1e80-58fa-407c-b070-74118c048d05,490788033,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/24/2024,,1,pre
00011e54-4d8c-4d35-8c57-b44c6835d575,329220963,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,4/10/2024,,1,pre
e8154b42-3327-4142-8872-b4b20ee4b495,86416119,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/23/2024,,1,pre
73be0d7c-53b1-4516-b6d9-30d343c0d9b1,261151978,Global Pre 15GB,5GB,50min,50,Default,Default,Default,€ 15,1 Month,1,Order mismatch,There is a mismatch between the details of the original order and the current order,Closed,4/17/2024,4/17/2024,1,pre
e331cad2-5516-44fa-bcd9-fb07bf6bb4ba,121401259,Global Pre 15GB,15GB,50min,50,Default,Default,Default,€ 15,1 Month,0,,,,3/1/2024,,1,pre
